ticker,name,type,exchange,currency,sector,universe,asset_class
ATS.AX,Australis Oil & Gas Limited,equity,Australia,AUD,Energy,asx_listed,Equities
ATT.AX,Altitude Minerals Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
ATV.AX,Activeport Group Ltd,equity,Australia,AUD,Information Technology,asx_listed,Equities
ATX.AX,Amplia Therapeutics Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AU1.AX,The Agency Group Australia Ltd,equity,Australia,AUD,Real Estate,asx_listed,Equities
AUA.AX,Audeara Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
AUB.AX,Aub Group Limited,equity,Australia,AUD,Financials,asx_listed,Equities
AUC.AX,Ausgold Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AUE.AX,Aurum Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AUG.AX,Augustus Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AUI.AX,Australian United Investment Company Limited,equity,Australia,AUD,,asx_listed,Equities
AUQ.AX,Alara Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AUR.AX,Auris Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AUV.AX,Auravelle Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AUZ.AX,Australian Mines Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AV1.AX,Adveritas Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
AVA.AX,Ava Risk Group Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
AVD.AX,Avada Group Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AVE.AX,Avecho Biotechnology Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AVG.AX,Australian Vintage Ltd,equity,Australia,AUD,Consumer Staples,asx_listed,Equities
AVH.AX,Avita Medical Inc.,equity,Australia,AUD,Health Care,asx_listed,Equities
AVL.AX,Australian Vanadium Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AVM.AX,Advance Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AVR.AX,Anteris Technologies Global Corp.,equity,Australia,AUD,Health Care,asx_listed,Equities
AVW.AX,Avira Resources Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
AW1.AX,American West Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AWJ.AX,Auric Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AX1.AX,Accent Group Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
AX8.AX,Accelerate Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AXE.AX,Archer Materials Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
AXI.AX,Axtec Limited,equity,Australia,AUD,Real Estate,asx_listed,Equities
AXL.AX,Axel Ree Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AXN.AX,Alliance Nickel Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AXP.AX,Axp Energy Limited,equity,Australia,AUD,Energy,asx_listed,Equities
AXQ.AX,"Aura Consolidated Group, Inc.",equity,Australia,AUD,,asx_listed,Equities
AXR.AX,Axiant Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AYA.AX,Artrya Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AYM.AX,Australia United Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AYT.AX,Austin Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AZ9.AX,Azzuro Resources Plc,equity,Australia,AUD,Materials,asx_listed,Equities
AZI.AX,Altamin Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AZJ.AX,Aurizon Holdings Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
AZY.AX,Antipa Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
B4P.AX,Beforepay Group Limited,equity,Australia,AUD,Financials,asx_listed,Equities
BAK.AX,Barkly Rare Earths Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BAP.AX,Bapcor Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
BAS.AX,Bass Oil Limited,equity,Australia,AUD,Energy,asx_listed,Equities
BB1.AX,Blinklab Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
BBC.AX,Bnk Banking Corporation Limited,equity,Australia,AUD,Financials,asx_listed,Equities
BBL.AX,Brisbane Broncos Limited,equity,Australia,AUD,Communication Services,asx_listed,Equities
BBN.AX,Baby Bunting Group Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
BBT.AX,Betr Entertainment Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
BC8.AX,Black Cat Syndicate Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BCA.AX,Black Canyon Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BCC.AX,Beam Communications Holdings Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
BCI.AX,Bci Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BCK.AX,Brockman Mining Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BCM.AX,Brazilian Critical Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BCN.AX,Beacon Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BDM.AX,Burgundy Diamond Mines Limited,equity,Australia,AUD,Materials,asx_listed,Equities
BDX.AX,Bcal Diagnostics Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
BEL.AX,Bentley Capital Limited,equity,Australia,AUD,,asx_listed,Equities
BEN.AX,Bendigo And Adelaide Bank Limited,equity,Australia,AUD,Financials,asx_listed,Equities
BEO.AX,Beonic Ltd,equity,Australia,AUD,Information Technology,asx_listed,Equities
BET.AX,Betmakers Technology Group Ltd,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
